Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
"OAK House British School ""A""",OAK House British School,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell D,5,Divendres,20:00 h,LLIGA DELS DISSABTES
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell B,Casa,Divendres,20:00 h,
"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,20:15 h,
CE Vincit-Provençalenc D,CE Vincit-Provençalenc,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,20:00 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,13:30 h,
"Pam Roig (FPC CET 10) ""A""",Pam Roig (FPC CET 10),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
SantÍssima Trinitat (Hermanas Trinitarias),SantÍssima Trinitat (Hermanas Trinitarias),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell B,,Dissabte,10:00 h,
"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell E,1,Divendres,20:45 h,LLIGA DIVENDRES
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell C,5,Divendres,20:45 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell B,7,Divendres,19:00 h,
"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,FUTBOL 5 CADET MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:00 h,por favor que nos pongan colegios los mas cercanos posibles
Associació Esportiva Babar,Associació Esportiva Babar,FUTBOL 5 INFANTIL FEMENÍ 1ª FASE CEEB,Nivell C,,Dissabte,11:15 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 INFANTIL FEMENÍ 1ª FASE CEEB,Nivell B,Casa,Divendres,19:00 h,
CE Vincit-Provençalenc,CE Vincit-Provençalenc,FUTBOL 5 INFANTIL FEMENÍ 1ª FASE CEEB,Nivell C,Fora,Divendres,19:00 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,08:45 h,
Associació Esportiva Babar,Associació Esportiva Babar,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,,Dissabte,12:30 h,
"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell E,5,Divendres,19:00 h,
"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell D,1,Divendres,18:00 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,5,Divendres,20:30 h,
Institut Goya SPOT,Àngels Roig SPOT,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell E,1,Divendres,18:00 h,
"OAK House British School ""A""",OAK House British School,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell D,5,Divendres,20:00 h,LLIGA DELS DIVENDRES
